average                                             I frame                                             P frame                                             B frame
bitrate(kb/s) 	psnr(Y) 	psnr(U) 	psnr(V) 	bitrate(kb/s) 	psnr(Y) 	psnr(U) 	psnr(V) 	bitrate(kb/s) 	psnr(Y) 	psnr(U) 	psnr(V) 	bitrate(kb/s) 	psnr(Y) 	psnr(U) 	psnr(V)
0.00          	0.000   	0.000   	0.000   	88732.15      	39.143  	40.286  	43.032  	Cactus_27
0.00          	0.000   	0.000   	0.000   	45445.06      	36.790  	38.654  	40.827  	Cactus_32
0.00          	0.000   	0.000   	0.000   	24376.73      	34.375  	37.459  	38.945  	Cactus_37
0.00          	0.000   	0.000   	0.000   	154008.80     	44.638  	45.259  	47.068  	BasketballDrive_22
0.00          	0.000   	0.000   	0.000   	47649.36      	39.948  	43.995  	45.300  	BasketballDrive_27
0.00          	0.000   	0.000   	0.000   	22078.39      	38.119  	42.369  	42.859  	BasketballDrive_32
0.00          	0.000   	0.000   	0.000   	11981.61      	36.399  	40.714  	40.672  	BasketballDrive_37
0.00          	0.000   	0.000   	0.000   	225873.89     	45.301  	44.477  	45.747  	BQTerrace_22
0.00          	0.000   	0.000   	0.000   	130076.74     	40.143  	41.905  	43.719  	BQTerrace_27
0.00          	0.000   	0.000   	0.000   	65128.85      	36.161  	39.578  	41.773  	BQTerrace_32
0.00          	0.000   	0.000   	0.000   	35694.88      	33.243  	37.950  	40.221  	BQTerrace_37
0.00          	0.000   	0.000   	0.000   	278061.82     	45.157  	44.490  	46.162  	Traffic_22
0.00          	0.000   	0.000   	0.000   	157020.40     	41.884  	41.621  	43.537  	Traffic_27
0.00          	0.000   	0.000   	0.000   	87321.97      	38.717  	39.037  	41.099  	Traffic_32
0.00          	0.000   	0.000   	0.000   	48902.51      	35.652  	37.130  	39.335  	Traffic_37
0.00          	0.000   	0.000   	0.000   	277217.95     	45.180  	46.764  	46.265  	PeopleOnStreet_22
0.00          	0.000   	0.000   	0.000   	163590.16     	41.652  	44.451  	44.486  	PeopleOnStreet_27
0.00          	0.000   	0.000   	0.000   	92606.64      	38.297  	41.941  	42.503  	PeopleOnStreet_32
0.00          	0.000   	0.000   	0.000   	52350.06      	35.254  	39.825  	40.658  	PeopleOnStreet_37
